count2019_01,sourcename,ra,dec,Velo,Tsys,Int,Rms1,Vlo1,Vhi1
1,RXSJ00001+0523,0.0490833,5.38817,11992,51.3,3,10.9,10631,13365
2,KUG2358+330,0.242083,33.3439,12921,36.5,8,4.0,11461,14395
3,0001233+4733537,0.347083,47.5649,5237,39.5,10,3.6,3848,6639
5,NGC-7806,0.37525,31.4419,4768,42.2,5,6.1,3383,6166
6,0001383+2329011,0.409667,23.4836,4382,38.9,10,3.8,3000,5776
7,0001419+2329452,0.424583,23.4958,4393,38.3,10,3.5,3011,5787
8,UGC12915,0.424667,23.4959,4336,27.1,28,1.5,3994,6788
10,0001523+4020109,0.467917,40.3364,13568,45.1,10,4.1,12102,15048
11,CGCG517-014,0.493708,36.6492,9609,38.8,10,3.8,8179,11051
12,NGC7811,0.610292,3.35189,7650,41.9,9,4.4,6238,9074
13,Mrk334,0.791458,21.9605,6600,28.1,36,1.8,5198,8014
14,UM016,0.79175,4.74894,17358,45.6,44,2.0,16982,20021
15,NGC7814,0.812083,16.1456,1050,34.9,10,3.1,-301,2414
16,UGC13,0.871667,27.3516,7690,31.9,10,2.9,6278,9115
17,NGC7808,0.88375,-10.7447,8787,44.3,10,4.4,7454,10132
19,NGC-7817,0.995458,20.7523,2309,42.4,5,5.4,946,3684
20,NGC-7819,1.10225,31.472,4958,39.7,5,5.9,3571,6357
22,Mrk335,1.58137,20.2029,7730,35.7,10,3.7,6318,9155
27,UGC00050,1.66733,26.1545,7552,26.8,24,1.6,7202,10056
28,UGC52,1.70617,8.62853,5257,52.2,10,5.1,3867,6659
29,NGC-1,1.81596,27.7081,4545,41.1,5,5.9,3162,5941
30,2MASXJ00082041+,2.08542,40.6325,13389,69.4,10,7.7,11925,14867
32,NGC-13,2.19887,33.4333,4808,41.4,5,6.0,3422,6206
33,NGC-9,2.22787,23.817,4528,41.8,5,5.6,3145,5923
34,NGC-16,2.26783,27.7294,3056,42.2,5,5.6,1686,4438
35,2MASXJ00090793+,2.28292,14.4655,12423,38.8,10,3.8,10967,13892
36,J0009+1427,2.28292,14.4655,12429,47.7,10,4.9,10973,13898
37,UGC85,2.36937,47.3558,5153,63.4,20,4.2,3764,6554
43,UM207,2.52762,-0.435944,9648,25.2,10,2.1,8218,11091
44,MARK937,2.54162,-4.71056,8846,42.5,10,4.4,7512,10192
46,NGC-26,2.60775,25.8318,4589,41.2,5,5.7,3205,5985
47,Mrk1501,2.62912,10.975,26783,48.0,6,6.6,25290,28290
48,NGC-21,2.69537,33.3528,4859,41.1,5,5.9,3473,6257
49,NGC-29,2.69546,33.3528,4589,41.7,5,5.8,3205,5985
50,ESO538-G025,2.72579,-21.0675,7768,62.1,10,6.6,6355,9193
56,001145-005430,2.93842,-0.908556,14390,34.1,10,3.0,12916,15877
58,UM213,3.07425,-0.102889,12149,31.5,20,1.9,10695,13615
59,NGC-39,3.07862,31.0611,4857,42.4,5,5.9,3471,6255
60,001238-000803,3.15842,-0.134417,11691,33.7,10,2.9,10242,13153
61,NGC41,3.19996,22.0233,5949,34.2,10,3.2,4553,7357
63,UGC119,3.26292,14.41,2032,39.0,10,3.5,671,3405
65,IRAS00129+0021,3.87375,0.639694,12093,41.1,10,3.6,10640,13559
66,J0016+1556,4.0055,15.943,11751,48.1,10,5.1,10302,13214
68,001708-005728,4.28654,-0.958028,5696,47.2,10,4.4,4302,7102
69,ESO-539-G5,4.2925,-19.3015,3190,57.8,5,7.9,1819,4573
70,001717-121507,4.32121,-12.252,7153,43.2,10,4.1,5746,8573
73,0018142+5357542,4.55917,53.9651,10759,45.7,10,19.6,9319,12212
74,NGC70,4.59375,30.0795,7167,33.4,10,3.0,5760,8587
76,IRAS00160-0719,4.64954,-7.04892,5396,43.5,18,3.5,4005,6799
77,2MASXJ00183589-,4.64958,-7.04889,5396,53.5,10,5.8,4005,6799
79,ARP256NED01,4.71192,-10.3768,8125,35.2,10,3.3,6709,9554
80,001936-044010,4.89996,-4.66944,6142,40.4,10,3.6,4744,7552
81,IC9,4.93329,-14.1219,12557,45.0,10,36.3,11100,14027
83,001947+003526,4.94721,0.590806,5396,45.5,10,4.5,4005,6799
84,CGCG456-060,4.99308,19.4023,5310,31.8,28,1.9,4963,7776
85,J002025+004934,5.10742,0.826333,5076,40.7,9,4.5,3688,6477
86,0021313,5.38033,38.0769,10499,32.1,10,2.7,9061,11950
89,UGC215,5.61042,29.5042,7091,31.4,10,2.9,5685,8510
91,002349-001804,5.95542,-0.301111,12891,33.7,10,2.9,11431,14364
92,CGCG479-024NED0,6.00967,25.6625,7378,31.1,10,2.8,5969,8800
94,002433-130009,6.13912,-13.0025,11395,39.4,10,3.6,9949,12854
95,UGC-232,6.16125,33.2562,4842,42.9,5,6.2,3456,6240
97,UGC233,6.17792,14.8245,5279,32.8,10,3.0,3889,6681
98,CGCG457-013,6.18167,21.1011,5364,33.9,10,2.9,3973,6767
99,UGC00238,6.26396,31.3447,6796,27.0,28,1.5,6448,9288
101,MRK945,6.47867,-3.42086,4431,52.3,10,5.0,3049,5826
102,NGC-108,6.49887,29.2121,4749,43.7,5,6.1,3364,6146
103,NGC118,6.8175,-1.78028,11250,37.9,10,3.8,9805,12708
105,0027252+4544279,6.85504,45.7411,12003,35.9,30,1.9,10551,13468
106,NGC-124,6.96833,-1.81028,4044,64.0,5,8.2,3906,6698
107,UGC-275,6.99421,2.50747,4391,59.8,5,8.8,4252,7051
108,002759-073403,6.99958,-7.56747,6502,39.3,10,3.7,5101,7916
109,MRK0948,7.05979,7.12925,12022,45.6,44,2.3,10570,13487
110,UGC284,7.14317,33.2724,4731,41.3,10,3.6,3346,6128
111,2MASXJ00283779-,7.15746,-9.99833,14873,44.9,10,4.4,13395,16365
113,PG0026+129,7.30708,13.2678,42571,48.8,7,5.7,40931,44228
114,NGC-128,7.31292,2.86417,4241,60.3,5,7.5,4102,6898
117,KUG0027-025,7.46525,-2.28336,5333,30.0,10,2.8,3943,6736
118,003007-110649,7.53046,-11.1137,3527,46.2,10,4.3,2153,4913
120,003053-091228,7.72412,-9.20789,5961,44.6,10,4.1,4565,7369
121,NGC137,7.74208,10.2084,5276,41.9,10,3.8,3886,6678
122,UGC313,7.85875,6.20667,2085,40.3,10,3.8,724,3458
123,0031293+1722567,7.87204,17.3824,11450,41.1,10,3.7,10003,12910
124,UM254,7.89283,-2.15464,13311,31.9,20,2.0,11845,14786
125,0032482+1447380,8.20075,14.7939,12601,44.4,10,4.1,11144,14072
126,UGC323,8.21004,11.7369,4928,38.3,10,3.3,3541,6327
127,NGC-151,8.51162,-9.70531,3747,61.6,5,8.4,2371,5135
128,ESO540-G001,8.55746,-21.4392,8048,62.4,10,5.9,6633,9476
130,NGC-150,8.56446,-27.8036,1584,69.2,5,9.8,227,2953
131,003443-000226,8.68133,-0.0407778,12591,34.8,10,3.1,11134,14062
132,FGC0061,8.68133,-0.0407222,12610,28.7,28,1.5,11150,14078
133,NGC-157,8.69479,-8.39644,1668,61.4,5,8.2,311,3037
134,J003502-092206,8.76221,-9.36842,6898,41.6,9,4.2,5493,8315
135,CGCG434-024,8.77708,14.3547,11377,32.3,10,3.0,9931,12836
137,2MASXJ00354660+,8.94429,13.88,17872,36.5,10,3.8,16365,19393
138,NGC166,8.95329,-13.6106,6021,50.1,10,5.8,4624,7430
140,J003610+043807,9.04417,4.63525,4905,53.7,10,5.8,3518,6304
142,ESO350-IG038,9.21954,-33.5547,6175,64.6,18,5.4,4777,7586
143,NGC-174,9.24546,-29.4778,3470,75.2,5,11.3,2096,4856
144,3C15,9.26704,-1.15217,21885,38.2,28,2.0,20340,23445
145,B2_0034+25,9.27287,25.6989,9548,38.5,20,2.4,8119,10990
146,NGC-173,9.30208,1.94222,4366,62.4,5,8.9,4227,7026
147,NGC-177,9.39321,-22.5493,3892,59.7,5,8.4,2515,5282
148,Mrk955,9.39912,0.280583,10450,34.0,40,1.6,9013,11900
149,003736+001650,9.39921,0.280667,10471,53.0,10,5.7,9033,11922
151,NGC180,9.49042,8.63522,5281,46.1,10,4.4,3891,6683
153,IC-1562,9.64146,-24.2741,3659,62.1,5,8.9,2284,5046
155,UGC-398,9.73975,25.6386,4612,42.7,5,5.5,3228,6008
156,NGC185,9.7415,48.3374,-201,67.2,20,4.3,-1541,1150
157,NGC-209,9.765,-18.6083,3931,55.0,5,8.1,2553,5321
158,NGC-192,9.80583,0.864194,4210,61.8,5,8.4,4071,6867
160,NGC193,9.8275,3.33119,4340,45.4,20,3.0,2959,5734
161,CGCG479-054,9.85708,25.2558,4638,34.4,10,3.0,3254,6034
162,NGC-201,9.89504,0.859889,4366,43.4,10,4.0,2984,5760
163,J003935-091140,9.89912,-9.19453,4898,42.8,8,5.3,3511,6297
164,003948-090834,9.95162,-9.14294,11233,40.1,10,3.6,9789,12691
165,NGC-210,10.1459,-13.8728,1634,52.6,5,6.7,277,3003
168,ESO540-G014,10.2987,-21.1317,1654,66.6,10,6.5,297,3023
171,2MASXJ00412528+,10.3554,13.7261,9984,82.0,10,7.8,8551,11430
173,NGC-214,10.3668,25.4993,4533,43.4,5,6.2,3150,5929
177,IC-43,10.5919,29.6416,4858,43.4,5,6.0,3472,6256
178,MRK1143,10.6413,3.257,11047,28.6,36,1.4,9602,12501
179,VIIIZw036,10.6535,-10.8228,12580,44.4,10,4.6,11123,14051
180,MESSIER031,10.6847,41.269,-299,34.1,20,2.1,-631,2078
182,3C20,10.7866,52.0594,52164,36.7,44,1.5,50315,54032
183,004314-272936,10.81,-27.4934,10600,49.3,10,36.1,9161,12052
184,NGC237,10.8659,-0.125,4175,51.3,10,7.3,2795,5567
185,NGC-234,10.885,14.3426,4452,40.6,5,5.9,3070,5847
186,UGC-465,10.9615,32.8534,4772,43.0,5,5.8,3387,6170
187,IC-49,10.9839,1.85028,4562,52.1,5,7.6,3179,5958
188,ESO540-G017NED0,11.0908,-17.3511,9305,46.3,10,4.7,7878,10745
189,NGC-245,11.5225,-1.72333,4074,66.3,5,8.7,3936,6729
190,J004616-091719,11.568,-9.28867,6074,41.1,10,4.6,4676,7483
192,UGC-484,11.7333,32.6754,4859,41.4,5,6.2,3473,6258
193,UGC488,11.8308,14.7036,11787,32.4,10,3.0,10337,13250
198,004739-275651,11.915,-27.9475,1786,66.3,15,4.8,428,3156
199,NGC-255,11.9471,-11.4687,1600,60.2,5,8.1,243,2969
201,NGC-251,11.9751,19.5968,4597,40.3,5,5.7,3213,5993
202,IC1586,11.9845,22.3728,5821,33.3,10,3.1,4426,7228
204,2MASXJ00475976+,11.9991,13.7427,16960,43.1,10,4.4,15462,18472
207,MRK557,12.2218,-2.38197,3918,30.6,10,2.9,2540,5308
208,NGC-266,12.4492,32.2777,4661,42.6,5,5.9,3277,6058
209,MCG-02-03-025,12.4848,-12.2181,4066,41.0,10,3.6,2687,5457
210,UGC512,12.5112,7.91892,5383,45.4,10,4.3,3992,6786
211,NGC-271,12.6746,-1.91028,4098,66.7,5,9.0,3960,6753
212,NGC274,12.7575,-7.05694,1750,40.5,10,3.5,392,3120
213,UGC524,12.8958,29.4014,10779,38.2,10,3.9,9429,12142
214,IRAS00494-3056,12.9659,-30.6666,15529,54.0,13,5.8,14044,17027
215,MRK1148,12.9784,17.4329,19200,34.9,10,3.0,17681,20734
216,NGC-279,13.0375,-2.21833,3889,68.2,5,9.2,3751,6540
217,2MFGC00638,13.2334,15.7855,15604,43.9,10,4.4,14119,17103
218,UGC540,13.2429,29.0325,4982,41.0,10,3.7,3595,6382
219,005329-084604,13.3747,-8.76781,5692,46.5,10,4.5,4298,7098
221,IZw1,13.3954,12.6934,17658,38.5,20,2.6,16153,19177
222,005420-233309,13.5854,-23.5525,9680,56.5,10,5.2,8250,11123
223,UGC556,13.7095,29.2467,4629,36.4,10,3.4,3245,6025
224,PG0052+251,13.717,25.4274,46303,48.2,8,5.9,44627,47996
225,CGCG501-043,13.8446,30.4872,5149,37.7,32,1.9,4802,7612
228,NGC-307,14.1358,-1.77194,4002,68.2,5,9.3,3864,6655
229,TonS180,14.3342,-22.3822,18581,33.1,20,2.3,17068,20109
230,3C29,14.3954,-1.39111,13500,41.7,20,2.6,12034,14979
231,NGC0315,14.4537,30.3525,4942,38.0,20,2.6,3555,6341
233,005800-001727,14.502,-0.290889,13190,33.7,10,3.0,11727,14666
234,2MASXJ00584070+,14.6696,8.79911,17269,43.4,10,3.8,15768,18784
235,NGC334,14.7075,-35.116,9210,56.7,36,3.1,7784,10649
236,J0059+0100,14.7671,1.00111,5346,74.4,10,8.2,3955,6749
237,0059135-0222416,14.8063,-2.37819,13335,49.6,10,4.3,11871,14813
238,UGC615,14.9171,15.3311,5507,84.7,10,8.1,4115,6912
239,005942+005459,14.9255,0.916611,5396,46.0,10,4.3,4005,6799
240,J005950-073438,14.9587,-7.578,1646,81.8,10,9.4,289,3015
241,Mrk352,14.9721,31.8269,4459,38.5,10,3.5,3077,5854
242,NGC-338,15.1517,30.6689,4778,39.8,5,5.5,3393,6176
243,IRAS00579+3003,15.1604,30.3163,5186,30.7,28,1.6,4839,7649
244,J0100-0911,15.191,-9.18572,4541,81.6,10,9.0,3158,5937
246,IC-65,15.231,47.682,2614,34.5,5,4.5,1248,3992
247,J010119-095042,15.3311,-9.84525,4595,41.6,10,4.6,3211,5991
248,UM082,15.3354,6.91417,15289,46.9,10,4.8,13807,16785
249,NGC-351,15.4908,-1.93669,4194,68.2,5,9.1,4055,6851
250,2MASXJ01021132+,15.5472,14.5061,17122,42.4,10,4.4,15622,18636
251,CGCG520-008,15.6283,34.2758,11322,33.7,10,2.8,9877,12781
252,2MASXJ01023915-,15.663,-0.878778,15156,65.7,7,8.2,13675,16651
253,MRK969,15.6675,-12.8492,6208,38.9,10,3.5,4810,7619
254,NGC354,15.8183,22.3428,4665,32.2,10,2.9,3281,6062
255,NGC-357,15.8412,-6.33922,2541,57.1,5,8.1,1176,3918
256,J010324-105121,15.8507,-10.8559,6982,43.1,8,5.0,5576,8400
257,2MASXJ01033102-,15.8792,-12.2686,7195,40.2,10,4.2,5788,8615
258,010411+140653,16.0469,14.1148,12591,32.9,10,3.0,11134,14062
260,010623-000841,16.5998,-0.144833,14390,33.7,10,3.1,12916,15877
261,UM85,16.6883,6.63389,12291,52.7,10,5.0,10927,13667
262,010716-003837,16.8193,-0.643694,13190,33.3,10,2.8,11727,14666
264,NGC-385,16.8635,32.3198,4940,41.6,5,5.4,3553,6339
265,2MASXJ01080350+,17.0148,22.0658,16489,44.8,10,4.4,14995,17997
266,NGC-392,17.0977,33.1336,4762,40.6,5,5.7,3377,6160
269,HS0106+1304,17.2202,13.3372,17898,50.2,40,2.4,16389,19416
270,3C033,17.2203,13.3372,17898,33.4,8,3.2,16391,19419
271,UGC-714,17.3085,32.1514,4634,39.9,5,5.5,3250,6030
272,NGC-404,17.3625,35.7178,-47,34.0,5,4.1,-1389,1306
275,2MASXJ01094510-,17.438,-3.54244,16369,61.6,8,7.5,14876,17875
277,2MASXJ01095192+,17.4664,15.8561,18649,43.9,10,4.4,17135,20177
279,SDSSJ011016.00+,17.5667,15.0878,17902,43.9,10,4.6,16395,19423
280,UGC-728,17.6205,43.2877,4909,34.1,5,4.6,3523,6308
281,J011038-001640,17.6594,-0.278028,5408,50.2,10,5.4,4017,6811
285,NGC-420,18.04,32.1232,4974,40.4,5,5.5,3587,6373
286,011248-001724,18.2025,-0.290194,5396,44.4,10,4.2,4005,6799
287,011259-060835,18.2495,-6.14303,2239,49.5,10,4.6,877,3613
289,UGC768,18.29,2.28778,13839,79.8,10,6.7,12370,15321
291,011333+002948,18.3877,0.496639,13190,33.9,10,2.9,11727,14666
292,MRK1152,18.4587,-14.8456,15812,42.8,10,4.0,14325,17313
293,MARK975,18.4625,13.2717,14880,38.1,10,3.7,13494,16279
294,UGC774,18.4625,13.2716,14880,44.7,10,4.4,13401,16372
295,UGC-784,18.517,-1.74222,4902,67.2,5,9.3,4763,7571
296,IC1657,18.5292,-32.6508,3583,66.8,10,7.3,2208,4970
299,011429+001254,18.6244,0.215194,13790,34.2,10,3.0,12322,15272
300,2MASXJ01142985+,18.6246,0.21525,13245,38.5,10,3.9,11782,14722
301,011443+001709,18.6828,0.286,13490,35.0,10,3.1,12024,14969
302,UGC793NED01,18.7029,-0.496111,10184,41.4,10,4.2,8839,11541
303,IC-1654,18.7995,30.1948,4897,39.3,5,5.3,3511,6296
305,011603-000652,19.0138,-0.114639,13790,35.1,10,3.2,12322,15272
306,NGC446,19.015,4.29414,5446,35.4,10,3.2,4054,6850
318,NGC-452,19.0617,31.0338,4962,40.4,5,5.2,3575,6361
321,UGC829,19.4404,10.1972,10339,32.1,10,2.7,8903,11788
323,011845+145935,19.691,14.9932,6895,33.7,10,3.1,5490,8312
324,011905+003745,19.7715,0.629222,9893,43.8,10,4.1,8461,11338
325,UGC00841,19.7921,33.0306,5572,39.4,32,1.9,5223,8040
326,MARK567,19.8255,4.578,9928,56.2,10,5.2,8585,11283
327,2MASXiJ0119220+,19.8417,32.7064,5322,30.9,28,1.6,4974,7786
328,UGC00849,19.8507,12.4469,14265,57.9,40,2.9,12789,15748
329,116+31,19.8958,32.1806,17900,33.6,36,1.7,16393,19421
330,NGC-470,19.9369,3.40994,2374,43.6,5,5.6,1010,3750
331,CGCG436-030,20.0112,14.3619,9362,41.7,10,3.7,7935,10802
334,NGC-474,20.028,3.41528,2372,44.8,5,5.9,1008,3748
335,CGCG459-032,20.0612,17.8303,8705,28.0,10,2.5,7284,10139
336,CGCG551-015,20.1287,50.1447,7011,40.2,10,3.9,5605,8429
337,012046-082926,20.1954,-8.49061,10197,42.4,10,4.0,8762,11645
338,UGC-890,20.2833,1.37333,4947,44.7,5,6.0,3560,6346
339,IRAS01189+2156,20.434,22.2093,17478,26.7,28,1.4,17099,20141
340,NGC-488,20.4452,5.25675,2269,44.3,5,6.1,906,3644
341,MRK1503,20.4992,-1.04003,16291,40.1,5,6.2,14799,17797
342,UGC911,20.5416,32.2158,10567,33.6,10,3.1,9129,12019
343,IC1683,20.6625,34.437,4872,40.1,15,3.3,3486,6271
344,NGC-495,20.7333,33.4716,4114,57.2,5,8.0,2735,5506
346,NGC-499,20.7979,33.4606,4375,55.8,5,7.9,2993,5769
347,MCG-01-04-032,20.8,-6.63611,5330,38.9,10,3.7,3940,6733
348,VV730,20.8312,7.795,2700,47.3,10,4.5,1333,4079
349,UM319,20.8382,-1.97669,4835,55.1,40,2.6,4481,7284
350,UGC933,20.8483,15.2147,10256,24.7,10,2.2,8820,11705
352,NGC-504,20.8662,33.2044,4090,54.8,5,7.4,2711,5481
353,NGC-507,20.9167,33.2556,4924,39.9,5,5.3,3537,6323
355,IC1689,20.9491,33.0553,4566,30.7,10,2.7,3183,5962
356,NGC526a,20.9766,-35.0654,5725,65.2,80,2.9,4331,7131
357,NGC0526A,20.9766,-35.0656,5725,60.6,20,4.8,4331,7131
358,NGC-512,20.9991,33.9078,4783,58.7,5,8.2,3398,6181
359,NGC-514,21.0162,12.9174,2470,43.0,5,5.5,1106,3847
360,J012407+105713,21.0316,10.9538,12338,47.1,10,5.1,10883,13806
361,IRAS01217+0122,21.1,1.6425,5088,40.8,10,4.1,3700,6489
362,NGC513,21.1118,33.7994,5859,33.9,10,4.9,4464,7267
370,UGC964,21.1458,7.72108,2737,47.2,10,4.3,1370,4116
373,NGC-517,21.1825,33.4294,4260,39.0,5,5.4,2879,5653
374,NGC-524,21.1988,9.53889,2421,43.4,5,5.3,1057,3797
375,J012448+005436,21.2038,0.910028,9916,47.8,10,5.2,8483,11361
376,UM103,21.3658,3.00333,13491,81.1,10,7.1,12025,14970
377,012529-000326,21.3713,-0.0573056,6295,46.6,10,4.6,4896,7707
378,UGC00987,21.3811,32.1365,4658,23.5,28,1.3,4311,7111
381,NGC-528,21.39,33.6717,4792,57.5,5,8.9,3407,6190
382,NGC-529,21.4183,34.7133,4799,59.4,5,8.0,3414,6197
383,NGC541,21.4346,-1.37942,5422,42.4,24,2.6,4031,6826
384,NGC547,21.5025,-1.34525,5468,40.3,24,2.4,4076,6872
385,012601-041756,21.5067,-4.29889,5627,49.0,20,3.4,4234,7033
389,NGC536,21.5909,34.7031,5189,30.7,10,2.8,3800,6591
390,MARK358,21.64,31.6164,13552,34.2,10,3.4,12177,14939
395,Mrk359,21.8855,19.1788,5212,43.1,5,6.2,3823,6614
397,NGC-551,21.9194,37.1829,4901,42.5,5,6.4,3515,6300
398,J012753+284751,21.9747,28.7976,12891,49.3,10,5.4,11431,14364
399,NGC-565,22.0425,-1.30611,4498,66.2,5,9.1,4359,7160
400,NGC-561,22.0781,34.3086,4670,38.7,5,5.3,3286,6067
401,CGCG537-004,22.0858,40.2244,7398,38.5,10,3.4,5989,8820
404,012839+144553,22.1662,14.7649,13490,34.0,10,3.1,12024,14969
406,IC123,22.2146,2.44639,9179,84.4,10,7.4,7753,10618
407,012853+134737,22.2219,13.7938,6295,43.4,10,4.2,4896,7707
408,012940+143018,22.4204,14.5051,6595,42.6,10,4.0,5193,8009
410,013006+131702,22.5258,13.2839,11392,33.5,10,3.1,9946,12851
412,NGC-575,22.6943,21.4404,3149,41.5,5,6.0,1778,4532
414,UGC-1083,22.7426,14.1084,4519,42.7,5,6.2,3136,5914
415,UGC1093,22.9642,17.5653,8044,33.1,10,3.0,6629,9472
416,J013225+005836,23.1061,0.976667,7967,49.4,10,5.5,6553,9394
417,NGC-587,23.1389,35.3586,4588,42.7,5,6.0,3204,5984
419,NGC600,23.2733,-7.31181,1850,42.4,30,2.4,491,3221
428,NGC0612,23.4907,-36.4932,8925,74.1,10,8.4,7502,10361
429,013402-010432,23.5101,-1.07572,4496,35.2,10,3.3,3113,5891
430,UGC-1120,23.5102,-1.07578,4690,44.0,5,6.2,3305,6087
432,013402.5-094627,23.5106,-9.77417,12232,47.0,10,4.7,10778,13699
433,UGC-1123,23.5334,-1.03222,4929,66.0,5,8.7,4790,7599
437,013435-153016,23.6458,-15.5044,5474,53.9,10,5.0,4082,6878
438,CGCG521-048,23.7415,33.9237,5306,31.3,28,1.7,4957,7769
439,MRK1158,23.747,35.0394,4585,40.8,10,3.7,3201,5981
440,NGC-615,23.7737,-7.34031,1848,54.7,5,6.9,489,3219
441,013509-252344,23.79,-25.3956,11859,55.8,10,5.3,10409,13323
442,013536+000053,23.9027,0.0149167,5096,44.3,10,4.5,3708,6497
443,J013557+264538,23.9913,26.7615,11520,53.5,10,5.8,10073,12980
446,NGC631,24.1958,5.83528,5634,29.2,10,2.6,4241,7040
447,NGC-621,24.2042,35.5122,3305,43.6,5,8.3,1933,4689
448,NGC632,24.3229,5.87781,3168,42.1,10,3.9,1797,4551
450,UM347,24.4511,2.29094,16781,59.7,6,7.2,15284,18291
451,RXSJ01380+2136,24.5087,21.6034,13491,34.1,10,3.4,12117,14878
452,UGC01160,24.5135,32.4944,5446,32.5,28,1.8,5096,7911
453,KUG0135-131,24.5225,-12.8697,12055,40.4,10,4.4,10603,13520
454,NGC-634,24.5777,35.3648,4940,42.9,5,6.7,3553,6339
455,UGC-1166,24.645,34.9921,4663,42.8,5,6.0,3279,6060
457,IRAS01364-1042,24.7203,-10.4531,14520,29.4,20,1.9,13036,16000
458,ESO543-G008,24.835,-20.4531,6364,43.3,10,4.0,4964,7776
459,013924-092404,24.8537,-9.40119,7501,45.4,10,4.3,6091,8924
461,J014007-091619,25.031,-9.27211,7472,40.6,10,4.3,6062,8895
462,NGC-645,25.0362,5.72669,3308,45.3,5,6.2,1936,4692
463,SDSSJ01402+1452,25.0688,14.8675,10220,39.6,10,3.9,8874,11578
464,014140-060949,25.4188,-6.16358,10615,36.8,10,46.8,9176,12067
465,SDSSJ01417+1340,25.43,13.6756,13615,33.3,10,3.3,12240,15003
466,NGC-658,25.5402,12.6019,2986,44.0,5,5.7,1617,4367
468,NGC-656,25.6135,26.1431,3942,40.7,5,5.5,2564,5332
469,NGC0660,25.7598,13.6457,850,33.0,20,2.2,507,3237
470,014302+133842,25.76,13.6451,899,41.7,10,4.1,-450,2261
472,MARK573,25.9908,2.34994,5150,52.5,10,5.3,3848,6464
474,IRAS01418+1651,26.1271,17.1014,8225,39.4,14,3.3,6808,9655
475,IRASF01417+3424,26.16,34.6603,5677,40.2,10,3.8,4283,7083
476,CGCG482-008,26.2083,21.8824,10508,38.1,44,1.6,9067,11956
477,IC154,26.3177,10.6492,5544,42.4,10,3.8,4152,6949
478,IC1726,26.3321,4.61861,5334,40.1,10,3.8,3944,6737
479,NGC-668,26.5945,36.4603,4506,42.7,5,5.9,3123,5901
480,MS01442-0055,26.6862,-0.678639,24820,30.8,20,2.0,23247,26408
481,014659+130730,26.7465,13.1251,5396,40.3,10,4.0,4005,6800
482,0147066+2338356,26.7775,23.6432,11834,32.4,10,2.8,10384,13297
484,NGC-669,26.8173,35.5633,4694,42.8,5,5.9,3309,6091
485,NGC-670,26.8536,27.8857,3703,40.7,5,5.5,2327,5091
486,J014803+225512,27.016,22.9199,12592,47.4,9,5.3,11135,14062
487,J0148-0849,27.1151,-8.82519,10904,80.1,10,9.8,9462,12359
488,NGC-686,27.2339,-23.7981,4657,59.8,5,8.8,3273,6054
489,NGC676,27.2387,5.90753,1506,41.5,10,3.6,150,2874
490,014914+130319,27.3085,13.0553,5096,33.5,10,3.0,3708,6497
491,UGC-1272,27.3154,35.073,4864,42.5,5,7.3,3478,6262
492,2MASXJ01492126+,27.3387,13.8144,16760,59.0,9,6.2,15264,18270
493,NGC-678,27.3536,21.9973,2836,42.6,5,5.3,1468,4216
494,UGC-1277,27.3572,35.4529,4141,34.7,5,4.7,2761,5533
499,J0149+1350,27.4292,13.8374,13238,51.7,20,4.1,11775,14715
500,NGC679,27.4324,35.7856,5049,41.8,10,4.1,3661,6449
501,2MASXJ01500266-,27.5113,-7.43,5296,38.8,10,3.6,3906,6699
502,NGC-684,27.5584,27.6456,3534,41.0,5,5.7,2160,4920
503,J015023+304812,27.5996,30.8033,10820,59.0,10,6.3,9379,12274
504,015027-083122,27.6151,-8.52292,5331,48.0,10,4.8,3941,6734
505,NGC693,27.6283,6.14528,1567,36.1,10,3.3,211,2935
506,NGC687,27.6385,36.3708,5091,43.1,10,4.1,3703,6492
507,NGC-691,27.6737,21.76,2665,45.5,5,6.6,2528,5295
508,NGC-688,27.6841,35.2845,4150,34.7,5,4.8,2770,5542
509,015050-084510,27.7091,-8.75281,5546,49.4,10,4.9,4154,6951
510,2MASXJ01505086-,27.7118,-0.379833,16427,60.1,7,7.0,14934,17934
511,NGC-694,27.7438,21.9975,2950,46.6,5,6.1,2813,5585
512,IC-167,27.7854,21.9128,2931,47.5,5,6.3,2794,5565
513,IRAS01487-1245,27.795,-12.5144,5278,46.8,10,4.5,3888,6680
514,NGC-697,27.8233,22.3581,3117,47.6,5,6.1,2979,5755
516,NGC-706,27.9606,6.29689,4984,46.6,5,6.2,3597,6384
517,UGC-1328,27.9666,17.053,4703,47.4,5,6.3,4564,7368
518,NGC-711,28.1154,17.5128,4910,49.1,5,6.9,4771,7579
519,UGC-1344,28.1446,36.5009,4155,34.2,5,4.6,2775,5547
520,NGC-703,28.165,36.1714,4752,34.2,5,4.8,3367,6149
521,NGC0708,28.1936,36.1519,4855,26.5,16,2.0,3469,6253
522,NGC708,28.1937,36.1519,4855,38.1,16,2.9,3469,6253
523,015248-084320,28.2017,-8.72244,11083,44.4,10,4.1,9640,12539
524,MCG-01-05-047,28.2041,-3.44683,5156,45.5,20,2.9,3767,6557
526,NGC-716,28.2487,12.7083,4558,49.1,5,6.9,4419,7221
527,NGC712,28.2852,36.8199,5330,45.6,10,4.1,3940,6733
529,NGC-718,28.3054,4.19581,1733,47.8,5,6.3,375,3103
530,NGC-714,28.3735,36.2213,4458,34.2,5,4.9,3076,5853
