UID,Source_Name,Name_in_2018_paper_db,ra,dec,bestLum,Lum_2020,lum_from_2018_paper,Dist_from_2018_paper,Vsys_in_km_per_s,objClass_sym,objClass_int,specObjID,bestObjID,fiberID,mjd,plate
94,NGC_3614,NGC3614,169.5888,45.74822,3,3,3,33.3,2333,?,0,1619065007998265344,1237661356465979508,76,53054,1438
106,NGC_4194,NGC4194,183.5396,54.52694,12,12,12,35.7,2501,?,0,1146172197308491776,1237658916918984717,22,52672,1018
106,NGC_4194,NGC4194,183.5396,54.52694,12,12,12,35.7,2501,?,0,1147363793622296576,1237658916918984718,261,52707,1019
108,NGC_4253,NGC4253,184.6105,29.81286,9,9,9,55.4,3876,?,0,2510776922082928640,0,73,53799,2230
110,NGC_4261,NGC4261,184.8467,5.825278,40,?,40,32,2238,?,0,950418990457448448,0,580,52378,844
111,NGC_4293,NGC4293,185.3038,18.3825,1,1,1,12.7,890,?,0,2924083625089591296,1237668591333802010,442,54231,2597
112,NGC_4388,NGC4388,186.4446,12.66222,12,12,12,36.1,2524,D,5,1818435055295424512,1237661812812349452,388,53166,1615
114,NGC_4633,NGC4633,190.6558,14.35722,0.06,0.06,0.06,22.6,291,?,0,1991745031504947200,0,102,53502,1769
117,NGC_4922,NGC4922B,195.355,29.31389,200,200,200,100.8,7056,?,0,2264320011294238720,1237665441515962401,492,53499,2011
123,NGC_5256,NGC5256,204.5717,48.27555,32,32,32,120.3,8419,?,0,1445751458677942272,1237658204517171276,349,52736,1284
123,NGC_5256,NGC5256,204.5717,48.27555,32,32,32,120.3,8419,?,0,3381184703917826048,1237658204517171276,390,54845,3003
126,NGC_5347,NGC5347,208.3242,33.49083,32,32,32,33.4,2335,?,0,2383626653969442816,1237665103282372621,351,54115,2117
135,NGC_5506,NGC5506,213.3117,-3.2075,50,50,50,26.5,1853,?,0,1031347169430366208,1237655497594896459,83,52378,916
141,NGC_5765b,NGC5765,222.7146,5.114444,2277,?,2277,119,8333,D,5,2060464800869148672,1237654881814118465,247,54560,1830
157,NGC_6264,NGC6264,254.3171,27.84972,2100,2100,2100,145.4,10177,D,5,1904067221466933248,1237666209238614271,620,53260,1691
179,NGC_7738,null,356.0083,0.5166667,468,468,0,0,6762,?,0,1230769170346436608,1237663277925990500,584,52591,1093
70,SBS0927+493,SBS0927+493,142.7779,49.07972,280,?,280,146.3,10240,?,0,1013481209335932928,1237657770707451937,623,52637,900
71,UGC_5101,UGC5101,143.965,61.35305,1900,1900,1900,168.6,11809,?,0,547250883566528512,1237651272966275163,231,51910,486
84,UGC_5713,UGC5713,157.912,25.98397,237,237,237,90.2,6312,?,0,2648205429707925504,1237667209981984781,323,53770,2352
88,UGC_6093,UGC6093,165.1998,10.72814,770,770,770,154.7,10828,D,5,1804873952967813120,1237661948635447420,205,53119,1603
103,UGC_7016,UGC7016,180.5999,14.84364,22,22,22,103.9,7271,?,0,1986206515970729984,1237664290463416372,433,53467,1764
132,UGC_9077,UGC9077,212.7312,39.77214,17,?,17,80.4,5630,?,0,1552777651133900800,1237662195609436271,588,53063,1379
132,UGC_9077,UGC9077,212.7312,39.77214,17,?,17,80.4,5630,?,0,1552777926364129280,1237662195609436271,589,53084,1379
143,UGC_9639,UGC9639,224.65,44.88361,444,444,444,154.3,10802,D?,4,1887050627863832576,1237662301901422604,154,53147,1676
149,UGC_9954,UGC9954,234.8196,24.455,30,30,30,147.4,10310,?,0,2437705580303902720,1237665128563212505,481,53917,2165
