MPA_index,is_maser,z,v_disp,kcor_mag_rband,D4000,H_alpha_flux,OIII_5007_flux,HaHb,O3Hb,N2Ha,S2Ha,O1Ha,maser_lum,maser_morphology
725398,0,0.016636043787002563,44.82283020019531,17.92009735107422,0.0,434.9212951660156,16.497663497924805,0.8986059270526847,-0.5223823045346051,-0.4009539124110285,-0.4679066538512056,-1.549112965017061,0.0,0
274384,0,0.021331509575247765,81.9039306640625,16.51558494567871,1.6118404865264893,710.021728515625,342.43267822265625,0.6480195584244579,0.33132312150189525,-0.32513330339163465,-0.38105823417869517,-1.1590830000813717,0.0,0
696482,0,0.02350618690252304,68.24652862548828,17.537513732910156,1.5867271423339844,351.1536560058594,948.5372924804688,0.5711781856308266,1.0027354014208723,-0.012602800504134436,-0.23370192584565788,-0.8073725319216924,0.0,0
724106,0,0.01749347522854805,242.13894653320312,14.723686218261719,0.0,455.2634582519531,394.5012512207031,0.4097597053536282,0.3475452972970914,0.21876790329646417,-0.19324275196091226,-0.9277565845438869,0.0,0
724100,0,0.019473513588309288,47.17958450317383,17.705049514770508,0.0,969.9140625,473.23712158203125,0.5146588992778587,0.20300444733498044,-0.8688654011830201,-0.5464602970049,-1.596811325622788,0.0,0
876088,0,0.023950787261128426,80.33853912353516,16.919422149658203,1.668049693107605,474.4778137207031,449.14569091796875,0.6252241099227183,0.6013954374538183,-0.04278983714224313,-0.3420552177417901,-1.2584111098094628,0.0,0
439416,0,0.020976807922124863,85.25265502929688,16.411733627319336,1.161835789680481,3043.720947265625,3002.078125,0.4617852194336663,0.4558023762331447,-0.9268428599623426,-0.6525528947648601,-1.4583976207764477,0.0,0
318627,0,0.02314024046063423,89.50701141357422,15.744218826293945,1.6532275676727295,334.464599609375,138.37379455566406,0.5737526995464117,0.19045639213539436,-0.11933288624378223,-0.12826120515239983,-1.1290252915872152,0.0,0
617443,0,0.024017170071601868,83.70848846435547,16.832836151123047,1.7041738033294678,762.8197021484375,61.197818756103516,0.7407322417168396,-0.3549537167075128,-0.3058032631011821,-0.47421353116187326,-1.433160022193039,0.0,0
729451,0,0.035842593759298325,126.88703155517578,16.46074104309082,1.7982217073440552,765.7562866210938,271.4097900390625,0.697149436872781,0.24668437502579083,-0.19831705212566755,-0.3836327576369035,-1.2999095370175708,0.0,0
883835,0,0.019801786169409752,111.22321319580078,16.51264762878418,0.0,367.8791198730469,268.8160400390625,0.717878297361093,0.5816283377293245,-0.06445388792185719,-0.2257887960525103,-1.0739468993719634,0.0,0
630614,0,0.022212659940123558,92.32878875732422,17.17391586303711,1.7874932289123535,484.75592041015625,21.07127571105957,0.7693639454202196,-0.5924683467317788,-0.23427015580165694,-0.5199537508958417,-1.7327683450625282,0.0,0
728979,0,0.015485318377614021,93.6085205078125,17.6888370513916,0.0,29.52846908569336,13.344898223876953,0.9291136749624873,0.5841880095187936,0.193221183581171,0.10225579762924769,-0.41922516360986906,0.0,0
