SPECOBJID,N_CL_DETECT,FEXI_7892_LOGL,SXII_7609_LOGL,FEX_6374_LOGL,FEVII_6087_LOGL,FEVII_5720_LOGL,ARX_5533_LOGL,FEVI_5335_LOGL,CAV_5309_LOGL,FEXIV_5303_LOGL,FEVII_5276_LOGL,FEVI_5176_LOGL,FEVII_5159_LOGL,FEVI_5146_LOGL,FEVII_4893_LOGL,FEV_4181_LOGL,FEV_3891_LOGL,FEV_3839_LOGL,FEVII_3759_LOGL,NEV_3426_LOGL,NEV_3346_LOGL,ARIII_7135_LOGL,SII_6731_LOGL,SII_6717_LOGL,NII_6584_LOGL,H_ALPHA_LOGL,NII_6548_LOGL,OI_6302_LOGL,HEI_5876_LOGL,OIII_5007_LOGL,OIII_4959_LOGL,H_BETA_LOGL,OIII_4363_LOGL,H_GAMMA_LOGL,H_DELTA_LOGL,NEIII_3869_LOGL,OII_3729_LOGL,OII_3726_LOGL
2060464800869148672,4,38.91864,-999999,39.25394,39.49926,39.33647,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.51505,40.11479,40.13351,40.7993,40.9931,40.31984,39.65417,39.5113,41.00748,40.5392,40.332,39.03038,39.96502,39.69764,39.84719,39.7431,39.93179
2264320011294238720,2,-999999,-999999,-999999,39.16763,38.95129,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.29785,40.15752,40.19002,40.74104,40.8858,40.26157,39.75516,39.16787,40.47172,39.96827,40.0643,38.73293,39.60929,39.31089,39.34094,-999999,40.18607
2383626653969442816,3,-999999,-999999,38.07315,38.64466,38.45973,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,38.40035,38.92684,38.93992,39.3839,39.567,38.90444,38.78052,38.07832,39.78862,39.31487,38.89714,38.41329,38.49782,38.20631,38.88998,-999999,-999999
2411797517822879744,6,39.41273,-999999,39.5325,40.07898,39.8084,-999999,-999999,39.1722,-999999,-999999,-999999,39.34649,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.63997,40.09916,40.11303,40.68962,41.02049,40.21016,39.82273,39.5829,41.30741,40.8384,40.34863,39.75993,39.92635,39.49484,40.2556,40.26339,40.18345
712824968039131136,2,-999999,-999999,39.27164,-999999,39.27766,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,39.75259,40.31371,40.33446,40.82559,40.79556,40.34613,39.89198,39.32317,41.20913,40.73399,40.21636,39.37646,39.87831,39.61622,40.17922,40.40305,40.38308
