mcp_count,source,ra,dec,velo,date_obs,tsys,int,Rms1,Vlo1,Vhi1
94,002433-130009,6.13912,-13.0025,11395,2009.138,39.4,10,3.6,9949,12854
95,UGC-232,6.16125,33.256170000000004,4842,2006.097,42.9,5,6.2,3456,6240
97,UGC233,6.1779199999999985,14.824470000000002,5279,2011.966,32.8,10,3.0,3889,6681
98,CGCG457-013,6.18167,21.10111,5364,2009.996,33.9,10,2.9,3973,6767
99,UGC00238,6.26396,31.34475,6796,2005.169,27,28,1.5,6448,9288
100,NGC105,6.31917,12.88947,5290,2008.055,47.5,10,4.4,3900,6692
101,MRK945,6.47867,-3.42086,4431,2011.861,52.3,10,5.0,3049,5826
102,NGC108,6.49887,29.21208,4749,2006.038,43.7,5,6.1,3364,6146
103,NGC118,6.8175,-1.78028,11250,2012.35,37.9,10,3.8,9805,12708
104,0027252+4544279,6.85496,45.74111,12003,2010.996,46.7,10,4.6,10551,13468
106,NGC124,6.96833,-1.81028,4044,2005.839,64,5,8.2,3906,6698
107,UGC-275,6.9942100000000025,2.50747,4391,2005.839,59.8,5,8.8,4252,7051
108,002759-073403,6.99958,-7.56747,6502,2009.105,39.3,10,3.7,5101,7916
109,MRK0948,7.05979,7.12925,12022,2003.939,45.6,44,2.3,10570,13487
110,UGC284,7.14317,33.27236,4731,2010.16,41.3,10,3.6,3346,6128
112,2MASXJ00283779-,7.15746,-9.99833,14873,2012.96,40,10,4.0,13394,16365
113,PG0026+129,7.30708,13.26781,42571,2016.2,48.8,7,5.7,40931,44228
114,NGC128,7.31292,2.86417,4241,2005.839,60.3,5,7.5,4102,6898
115,UM246,7.436210000000001,2.86417,17809,2005.832,39.4,48,1.6,17429,20477
116,0029509+1336045,7.46208,13.60128,11388,2011.066,38,10,3.7,9942,12847
117,KUG0027-025,7.46525,-2.28336,5333,2010.111,30,10,2.8,3943,6736
118,003007-110649,7.5304600000000015,-11.11367,3527,2006.48,46.2,10,4.3,2153,4913
119,J0030+1106,7.5304600000000015,11.11367,3530,2014.925,53.6,10,5.8,2156,4916
120,003053-091228,7.72412,-9.20789,5961,2006.48,44.6,10,4.1,4565,7369
121,NGC137,7.74208,10.20844,5276,2008.055,41.9,10,3.8,3886,6678
122,UGC313,7.85875,6.20667,2085,2010.124,40.3,10,3.8,724,3458
123,0031293+1722567,7.872039999999997,17.38239,11450,2011.066,41.1,10,3.7,10003,12910
124,UM254,7.89283,-2.15464,13311,2003.944,31.9,20,2.0,11845,14786
125,0032482+1447380,8.20075,14.793920000000002,12601,2011.066,44.4,10,4.1,11144,14072
126,UGC323,8.21004,11.73689,4928,2010.124,38.3,10,3.3,3541,6327
127,NGC151,8.51163,-9.70531,3747,2005.971,61.6,5,8.4,2371,5135
129,ESO540-G001,8.55746,-21.43919,8048,2012.35,44,10,5.3,6633,9476
130,NGC150,8.56446,-27.80358,1584,2006.918,69.2,5,9.8,227,2953
131,003443-000226,8.68133,-27.80358,12591,2006.186,34.8,10,3.1,11134,14062
132,FGC0061,8.68133,-27.80358,12610,2003.944,28.7,28,1.5,11150,14078
133,NGC157,8.69479,-8.39644,1668,2005.971,61.4,5,8.2,311,3037
134,J003502-092206,8.762210000000001,-9.36842,6898,2013.105,41.6,9,4.2,5493,8315
135,CGCG434-024,8.77708,14.35472,11377,2010.124,32.3,10,3.0,9931,12836
136,IC34,8.90175,9.12425,5338,2008.055,49.2,10,4.7,3947,6741
137,2MASXJ00354660+,8.944289999999997,13.88,17872,2014.066,36.5,10,3.8,16365,19393
139,NGC166,8.95337,-13.61056,6021,2012.96,48.9,10,5.0,4624,7430
140,J003610+043807,9.04417,4.63525,4905,2014.925,53.7,10,5.8,3518,6304
141,J003619+093343,9.07996,9.56247,0,2015.055,44.8,10,5.3,2722,10322
142,ESO350-IG038,9.21954,-33.55469,6175,2013.258,64.6,18,5.4,4777,7586
143,NGC174,9.24546,-29.47783,3470,2006.918,75.2,5,11.3,2096,4856
144,3C15,9.26704,-1.15217,21885,2004.297,38.2,28,2.0,20340,23445
145,B2_0034+25,9.27288,25.69886,9548,2004.149,38.5,20,2.4,8119,10990
146,NGC173,9.30208,1.94222,4366,2005.839,62.4,5,8.9,4227,7026
147,NGC177,9.39321,-22.54928,3892,2006.918,59.7,5,8.4,2515,5282
148,MRK955,9.39912,-22.54928,10450,2003.899,34,40,1.6,9013,11900
150,NGC224,9.42304,40.83192,-299,2006.928,33.4,5,4.3,-1639,1051
151,NGC180,9.49042,8.63522,5281,2008.055,46.1,10,4.4,3891,6683
152,003808-002447,9.53704,8.63522,12591,2006.186,34.6,10,3.1,11134,14062
153,IC-1562,9.64146,-24.27406,3659,2006.918,62.1,5,8.9,2284,5046
154,003843+003451,9.67942,-24.27406,12891,2006.358,33.7,10,3.0,11431,14364
155,UGC-398,9.73975,25.63861,4612,2006.038,42.7,5,5.5,3228,6008
156,NGC185,9.7415,48.33742,-201,2009.369,67.2,20,4.3,-1541,1150
157,NGC209,9.765,-18.60828,3931,2006.005,55,5,8.1,2553,5321
158,NGC192,9.80583,-18.60828,4210,2005.839,61.8,5,8.4,4071,6867
159,NGC193,9.8275,3.3310800000000005,4327,2005.971,52.7,5,7.6,2946,5721
161,CGCG479-054,9.85708,25.25583,4638,2009.996,34.4,10,3.0,3254,6034
162,NGC201,9.89504,25.25583,4366,2006.916,43.4,10,4.0,2984,5760
163,J003935-091140,9.89912,-9.19453,4898,2013.105,42.8,8,5.3,3511,6297
164,003948-090834,9.95162,-9.14294,11233,2006.48,40.1,10,3.6,9789,12691
165,NGC210,10.14592,-13.87281,1634,2006.005,52.6,5,6.7,277,3003
166,IRASF00380-0740,10.15429,-7.38722,15756,2010.2,44.3,10,4.1,14269,17257
167,004103-095628,10.26429,-9.94114,11037,2006.48,41,10,3.8,9594,12493
169,ESO540-G014,10.29871,-21.13169,1654,2012.96,54.6,9,6.1,297,3023
171,2MASXJ00412528+,10.35538,13.72611,9984,2012.103,82,10,7.8,8551,11430
172,NGC214,10.36663,25.49947,4537,2014.049,47.9,8,5.3,3154,5933
174,LEDA093200,10.39612,-9.36447,14234,2003.944,29.6,24,1.7,12757,15715
175,MCG-02-02-084,10.42933,-9.43953,16886,2005.169,27.8,28,1.4,16506,19536
176,004214-104415,10.5625,-10.7375,10776,2006.48,43,10,4.1,9336,12229
177,IC-43,10.59187,29.64164,4858,2006.038,43.4,5,6.0,3472,6256
178,MRK1143,10.64133,3.257,11047,2003.944,28.6,36,1.4,9602,12501
179,VIIIZW036,10.65354,-10.82278,12580,2014.122,44.4,10,4.6,11123,14051
180,MESSIER031,10.68467,41.26903,-299,2005.169,34.1,20,2.1,-631,2078
181,NGC235A,10.72,-23.54111,6664,2004.947,60.9,20,4.4,5261,8079
182,3C20,10.78663,52.05944,52164,2004.297,36.7,44,1.5,50315,54032
183,004314-272936,10.81,-27.49336,10600,2009.138,49.3,10,36.1,9161,12052
184,NGC237,10.86588,-27.49336,4175,2011.861,51.3,10,7.3,2795,5567
185,NGC234,10.88496,14.34261,4452,2006.899,40.6,5,5.9,3070,5847
186,UGC-465,10.96154,32.853390000000005,4772,2006.097,43,5,5.8,3387,6170
187,IC-49,10.98387,1.85028,4562,2005.971,52.1,5,7.6,3179,5958
188,ESO540-G017NED0,11.09083,-17.351110000000002,9305,2012.96,46.3,10,4.7,7878,10745
189,NGC245,11.5225,-1.72333,4074,2005.839,66.3,5,8.7,3936,6729
190,J004616-091719,11.56804,-9.28867,6074,2013.105,41.1,10,4.6,4676,7483
191,UGC-478,11.60725,30.23833,4995,2006.038,43.4,5,5.7,3608,6395
192,UGC-484,11.73333,32.67536,4859,2006.097,41.4,5,6.2,3473,6258
193,UGC488,11.83083,14.70361,11787,2010.124,32.4,10,3.0,10337,13250
195,004730.3+154149,11.87646,15.69706,9426,2014.082,64.9,9,7.0,7998,10867
196,NGC253,11.88796,-25.28836,241,2006.918,68.1,5,9.1,-1103,1597
198,004739-275651,11.915,-27.9475,1786,2008.919,66.3,15,4.8,428,3156
199,NGC255,11.94712,-11.46867,1600,2005.971,60.2,5,8.1,243,2969
200,UGCA014,11.95525,-9.90022,1350,2003.288,47.7,15,3.7,-3,2716
201,NGC251,11.97513,19.59681,4597,2006.899,40.3,5,5.7,3213,5993
202,IC1586,11.98454,22.37278,5821,2009.996,33.3,10,3.1,4426,7228
203,2MASXJ00475839+,11.99325,13.78036,16893,2014.052,43.9,10,4.4,15395,18404
204,2MASXJ00475976+,11.99908,13.742720000000002,16960,2014.052,43.1,10,4.4,15462,18472
206,MRK348,12.206,31.99111,4507,2004.166,52,16,4.9,3124,5902
207,MRK557,12.22179,-2.38197,3918,2010.111,30.6,10,2.9,2540,5308
208,NGC266,12.44917,32.27772,4661,2006.097,42.6,5,5.9,3277,6058
209,MCG-02-03-025,12.48483,-12.21811,4066,2009.996,41,10,3.6,2687,5457
210,UGC512,12.51121,7.91892,5383,2010.2,45.4,10,4.3,3992,6786
211,NGC271,12.67458,-1.91028,4098,2005.839,66.7,5,9.0,3960,6753
