MPA_index,ra,dec,fiberID,plate,mjd,mcpid,maser_morphology,maser_lum,z,z_err,v_disp,v_disp_err,kcor_mag_rband,kcor_model_mag_rband,Lick_Hd_A,Lick_Hd_A_err,D4000,D4000_err,D4000_n,D4000_n_err,has_coronal_lines,H_alpha_flux,H_alpha_flux_err,H_alpha_eqw,H_alpha_eqw_err,H_beta_flux,H_beta_flux_err,H_beta_eqw,H_beta_eqw_err,OIII_5007_flux,OIII_5007_flux_err,OIII_5007_eqw,OIII_5007_eqw_err,OI_6300_flux,OI_6300_flux_err,OI_6300_eqw,OI_6300_eqw_err,NII_6584_flux,NII_6584_flux_err,NII_6584_eqw,NII_6584_eqw_err,SII_6717_flux,SII_6717_flux_err,SII_6717_eqw,SII_6717_eqw_err,SII_6731_flux,SII_6731_flux_err,SII_6731_eqw,SII_6731_eqw_err
35499,190.2652,-1.28603,326,336,51999.0,0,0,0.0,0.06490158289670944,1.7645699699642137e-05,100.74092102050781,8.37039852142334,17.52233123779297,0.0,0.34845948219299316,1.2825496196746826,1.9669418334960938,0.03784557059407234,1.7546544075012207,0.04701659828424454,0,83.65438842773438,3.2717604637145996,-4.533875465393066,0.21706977486610413,21.895931243896484,2.572801351547241,-1.171932578086853,0.30973196029663086,31.84705924987793,3.176624298095703,-2.408970355987549,0.31999319791793823,5.560266971588135,2.5307185649871826,0.04817765951156616,0.20220202207565308,90.83197021484375,3.5579607486724854,-4.645471572875977,0.2270195037126541,24.52729034423828,2.8306593894958496,-1.1864852905273438,0.2060805708169937,17.95026969909668,2.8825113773345947,-0.9638631343841553,0.20987975597381592
881750,190.308,22.595029999999998,437,2648,54485.0,0,0,0.0,0.028700651600956917,6.9173229348962195e-06,121.26434326171875,7.084970951080322,17.271949768066406,0.0,1.309356451034546,0.6841177940368652,1.5628451108932495,0.01378703210502863,1.3790888786315918,0.016817297786474228,0,871.0556640625,8.062732696533203,-34.79217529296875,0.3302121162414551,139.45993041992188,3.238744020462036,-6.907617568969727,0.23747248947620392,33.202083587646484,2.66656756401062,-1.535507082939148,0.20934778451919556,27.129276275634766,3.004338264465332,-1.1139601469039917,0.1645612269639969,394.3100280761719,4.714863300323486,-15.734129905700684,0.22194643318653107,147.5019073486328,3.654487371444702,-5.881519317626953,0.17557784914970398,108.07340240478516,3.552579879760742,-4.085156440734863,0.1678675264120102
779946,190.3338,30.12183,461,2237,53828.0,0,0,0.0,0.027128523215651512,5.986342330288608e-06,145.37557983398438,3.57493257522583,16.106191635131836,0.0,-2.1330063343048096,0.39403101801872253,2.0003020763397217,0.010457819327712059,1.7874919176101685,0.01254330389201641,0,750.8468017578125,12.082655906677246,-10.018889427185059,0.15490682423114777,177.003662109375,6.488193988800049,-2.62235426902771,0.12690874934196472,1622.585205078125,15.55556869506836,-24.727853775024414,0.2423950880765915,98.25556945800781,7.459967136383057,-1.2703983783721924,0.11968126893043518,894.92138671875,11.922414779663086,-11.348522186279297,0.17179131507873535,237.12576293945312,8.89604663848877,-3.1539242267608643,0.13156335055828094,228.1863555908203,8.97138786315918,-2.9270505905151367,0.13107413053512573
614930,190.356,13.729560000000001,97,1769,53502.0,0,0,0.0,0.02042839117348194,1.3893744835513644e-05,85.64643096923828,5.736434459686279,17.012556076049805,0.0,1.485312819480896,0.7736240029335022,1.780317783355713,0.02274058200418949,1.6287354230880737,0.0272845309227705,0,164.89764404296875,4.400210380554199,-4.593376636505127,0.1588072031736374,29.354276657104492,3.3383548259735107,-0.5809990167617798,0.20014920830726624,26.285226821899414,3.2640488147735596,-0.999171793460846,0.19846542179584503,5.813047885894775,3.085360527038574,-0.13907968997955322,0.1504213660955429,85.59251403808594,3.995659828186035,-2.3777832984924316,0.15687619149684906,44.519920349121094,3.639594793319702,-1.2026273012161255,0.15497049689292908,32.505409240722656,4.0669708251953125,-0.8898518085479736,0.17488518357276917
887156,190.3813,26.04308,446,2660,54504.0,0,0,0.0,0.01593971438705921,8.229037121054716e-06,143.47755432128906,2.8265750408172607,15.259407043457031,0.0,0.5021995902061462,0.20818735659122467,1.6859182119369507,0.004143098369240761,1.5126370191574097,0.005040784832090139,0,2006.124267578125,22.445772171020508,-12.469350814819336,0.13812166452407837,530.2423095703125,10.164573669433594,-3.7618281841278076,0.09221318364143372,599.7603149414062,11.40984058380127,-4.601691722869873,0.10222869366407394,195.3890838623047,10.350754737854004,-1.4266812801361084,0.09522772580385208,1419.03369140625,18.441940307617188,-8.479028701782227,0.12814347445964813,744.5175170898438,14.773455619812012,-5.062381744384766,0.11398378014564514,578.8740234375,13.81399917602539,-3.7604033946990967,0.10924848914146423
706410,190.4355,35.06275,286,2022,53827.0,0,0,0.0,0.023094292730093002,8.748170330363791e-06,164.82708740234375,4.85106897354126,15.162179946899414,0.0,2.691802501678467,0.2908869981765747,1.5535911321640015,0.005886057857424021,1.4019782543182373,0.007202952168881893,0,1158.442138671875,34.84331512451172,-3.736431360244751,0.11771214753389359,155.44573974609375,21.86811065673828,-0.6674911379814148,0.10571069270372391,301.49774169921875,15.386247634887695,-2.0869863033294678,0.12096843868494034,112.04090881347656,14.64660358428955,-0.6271838545799255,0.113321952521801,643.726318359375,23.629072189331055,-4.262193202972412,0.12825268507003784,136.142333984375,16.532867431640625,-0.5229237079620361,0.11677990853786469,107.1233901977539,16.0089054107666,-0.48679855465888977,0.11654151976108551
34788,190.6792,-3.176,16,335,52000.0,0,0,0.0,0.06624600291252136,1.4735157492395956e-05,76.1904525756836,6.045521259307861,17.34419822692871,0.0,3.883390188217163,0.5749633312225342,1.672418236732483,0.013813563622534275,1.4928661584854126,0.01647551916539669,0,43.43662643432617,2.8430185317993164,-1.7624238729476929,0.17067794501781464,16.969186782836914,2.654210090637207,-0.3956544101238251,0.19235414266586304,116.13301086425781,4.47786283493042,-4.2618608474731445,0.22717000544071198,1.8705368041992188,2.4130918979644775,-0.06956778466701508,0.16600380837917328,52.094539642333984,2.9250829219818115,-2.2000296115875244,0.18610303103923798,19.012897491455078,2.662818431854248,-0.7105474472045898,0.17854294180870056,9.44424057006836,2.6021947860717773,-0.26290836930274963,0.1772450953722
128854,190.7077,2.68775,396,522,52024.0,0,0,0.0,0.0030250900890678167,7.219256985990796e-06,205.8834228515625,3.168593406677246,14.605472564697266,0.0,-3.2327253818511963,0.28267034888267517,0.0,0.0,1.9904942512512207,0.009176619350910187,0,304.369873046875,16.916231155395508,-1.979515552520752,0.10562979429960251,91.7091293334961,10.109217643737793,-0.6249427795410156,0.09219970554113388,111.68623352050781,9.574444770812988,-0.9596795439720154,0.09710169583559036,22.020362854003906,11.896965980529785,-0.12436633557081223,0.10179368406534195,348.4786682128906,15.94522476196289,-2.3678157329559326,0.114578016102314,115.41897583007812,13.262801170349121,-0.8102123141288757,0.1063443124294281,86.83426666259766,13.262463569641113,-0.6268033981323242,0.10663268715143204
35529,190.7625,-1.28272,369,336,51999.0,0,0,0.0,0.02377682738006115,1.5914652976789512e-05,61.276546478271484,13.65652084350586,17.967933654785156,0.0,-0.2789280414581299,1.679957628250122,1.612538456916809,0.039267536252737045,1.4703309535980225,0.0460277684032917,0,88.06169128417969,2.500225782394409,-7.4267683029174805,0.28286615014076233,22.31688117980957,2.2338716983795166,-1.8253647089004517,0.4252893626689911,197.43524169921875,3.9015963077545166,-17.167762756347656,0.47717902064323425,8.910682678222656,1.8430312871932983,-0.940377414226532,0.3029169738292694,70.63380432128906,2.196837902069092,-5.539652347564697,0.2920808792114258,18.314876556396484,2.0498335361480713,-1.4927427768707275,0.3257075250148773,20.05027961730957,2.043092727661133,-1.9907231330871582,0.29937273263931274
580220,190.8405,11.203389999999999,254,1694,53472.0,0,0,0.0,0.028094446286559105,6.424930234061321e-06,130.76219177246094,7.22651481628418,16.544187545776367,0.0,1.5220264196395874,0.5424573421478271,1.5987962484359741,0.012516765855252743,1.4148308038711548,0.014633659273386002,0,2063.39501953125,17.77324676513672,-42.03032684326172,0.35351628065109253,369.61328125,7.543796062469482,-8.39334774017334,0.21065418422222137,205.7308349609375,6.885819435119629,-4.843901634216309,0.19144891202449799,91.82249450683594,6.217108726501465,-1.9209152460098267,0.15490642189979553,1287.6595458984375,12.55616283416748,-25.830181121826172,0.2779528796672821,435.7972412109375,8.997965812683105,-8.863080024719238,0.19195950031280518,375.42779541015625,8.631515502929688,-7.412006855010986,0.18304261565208435
