MPA_index,is_maser,z,v_disp,kcor_mag_rband,D4000,H_alpha_flux,OIII_5007_flux,HaHb,O3Hb,N2Ha,S2Ha,O1Ha,maser_lum,maser_morphology,Classify1,Classify2,Classify3,Optical_class
272476,0,0.0242155771702528,88.88845825195312,16.889244079589847,1.5712212324142456,497.41204833984375,28.76099395751953,0.7138536481380051,-0.5240587615774942,-0.14101876991923426,-0.5123479926655721,-1.3848287117205722,0.0,0,Composite,HII,HII,HII
129084,0,0.003698266344144941,81.83625030517578,15.29216766357422,0.0,1818.975341796875,248.4600524902344,0.9999614862802066,0.13539124715028306,-0.13509665762924786,-0.5791690562388101,-1.3808351791246356,0.0,0,Composite,HII,HII,HII
781507,0,0.024227119982242584,126.14241790771484,17.30459213256836,1.1977123022079468,1453.134521484375,157.80296325683594,0.5606475660894491,-0.4035430999288428,-0.3588154884666201,-0.4843905519816041,-1.6706318702036522,0.0,0,HII,HII,HII,HII
781921,0,0.02398841455578804,141.43685913085938,16.611713409423828,1.7685266733169556,1608.5333251953125,112.9374008178711,0.7997077484514972,-0.3538845259794598,-0.2211360081381885,-0.3673142722664422,-1.2058961049315298,0.0,0,Composite,HII,HII,HII
701300,0,0.025368385016918186,70.56204223632812,17.466255187988278,1.519065499305725,388.2384338378906,13.59964084625244,0.7528266844344071,-0.7027444027110623,-0.5114215724498831,-0.5728036043788323,-1.5285562637761534,0.0,0,HII,HII,HII,HII
781917,0,0.019619641825556755,113.53987884521484,19.544925689697266,1.3205822706222534,0.8479651212692261,1.5334080457687378,-0.061958424029777234,0.19532132452700535,-0.8372120201755751,1.4884273462516697,0.23597867225374425,0.0,0,HII,HII,HII,HII
129649,0,0.052749037742614746,116.38078308105469,17.946720123291016,1.7279857397079468,163.97361755371094,48.13451385498047,0.893566528266225,0.36124914009453,-0.00779217368977515,-0.30422518156826384,-1.0431291567578609,0.0,0,AGN,Seyfert,Seyfert,Seyfert
710499,0,0.02781948447227478,93.63750457763672,17.047653198242188,1.390538215637207,1073.838134765625,81.51685333251953,0.7693751829671434,-0.350316232920766,-0.23897954465355015,-0.3401494538548955,-1.20983161880013,0.0,0,Composite,HII,HII,HII
781693,0,0.02795332670211792,75.47666931152344,17.195697784423828,1.601964831352234,545.3587646484375,29.184001922607425,0.7316044534428836,-0.5399329985217486,-0.31429821264029834,-0.490854349239581,-1.4013447900274223,0.0,0,HII,HII,HII,HII
781676,0,0.020223343744874,13.739078521728516,18.09634017944336,1.4954794645309448,145.58148193359375,6.408591270446777,0.6343577950816669,-0.7219857669764972,-0.5082990505936902,-0.5720658278769263,-1.338220729202375,0.0,0,HII,HII,HII,HII
