MPA_index,ra,dec,fiberID,plate,mjd,mcpid,maser_morphology,maser_lum,z,z_err,v_disp,v_disp_err,kcor_mag_rband,kcor_model_mag_rband,Lick_Hd_A,Lick_Hd_A_err,D4000,D4000_err,D4000_n,D4000_n_err,H_alpha_flux,H_alpha_flux_err,H_alpha_eqw,H_alpha_eqw_err,H_beta_flux,H_beta_flux_err,H_beta_eqw,H_beta_eqw_err,OIII_5007_flux,OIII_5007_flux_err,OIII_5007_eqw,OIII_5007_eqw_err,OI_6300_flux,OI_6300_flux_err,OI_6300_eqw,OI_6300_eqw_err,NII_6584_flux,NII_6584_flux_err,NII_6584_eqw,NII_6584_eqw_err,SII_6717_flux,SII_6717_flux_err,SII_6717_eqw,SII_6717_eqw_err,SII_6731_flux,SII_6731_flux_err,SII_6731_eqw,SII_6731_eqw_err
755340,233.7383,23.50306,58,2163,53823.0,148,0,0.0,0.018397964537143707,1.751338641042821e-05,174.9538116455078,8.220383644104004,16.83172035217285,0.0,6.12489128112793,0.8657125234603882,1.675657033920288,0.024989837780594826,1.3485331535339355,0.02512391470372677,1257.7462158203125,19.363588333129883,-32.703556060791016,0.29012471437454224,77.6319580078125,5.4168548583984375,-2.754415512084961,0.24167820811271667,181.04214477539062,6.445643901824951,-6.799421310424805,0.25674521923065186,194.4983367919922,6.8661699295043945,-4.598979473114014,0.16578952968120575,1779.6370849609375,18.079496383666992,-38.07758712768555,0.32748326659202576,562.8751831054688,10.414648056030273,-13.517457962036133,0.20769740641117096,385.7279052734375,9.76209831237793,-8.301000595092773,0.18351727724075317
543088,174.5334,11.19639,94,1607,53083.0,97,0,92.0,0.0357234887778759,9.756763574841898e-06,110.6328125,4.56574821472168,16.26420021057129,0.0,1.5979843139648438,0.42160457372665405,1.6038310527801514,0.009124630130827427,1.4082896709442139,0.010722068138420582,789.4133911132812,11.120376586914062,-12.840287208557129,0.1870349496603012,197.07078552246094,6.198020935058594,-3.123737335205078,0.1501898467540741,1091.97314453125,13.181466102600098,-18.473526000976562,0.2315828502178192,81.56428527832031,6.463947296142578,-1.2774848937988281,0.1352912336587906,690.7158203125,9.981507301330566,-10.702449798583984,0.18292826414108276,243.2860565185547,7.849410057067871,-3.815948724746704,0.1482139378786087,211.30984497070312,7.723593235015869,-3.2296130657196045,0.1458723396062851
633760,210.7686,8.9475,75,1807,54175.0,130,0,0.0,0.023065950721502304,1.1355424248904455e-05,125.4851303100586,3.2782342433929443,15.78963851928711,0.0,-3.5315723419189453,0.3944869935512543,1.7645736932754517,0.00861539226025343,1.5490225553512573,0.010292425751686096,1166.0640869140625,13.457725524902344,-11.670180320739746,0.14664262533187866,368.2284240722656,7.6151442527771,-3.8181838989257812,0.11688099056482315,3791.92041015625,28.52850914001465,-41.77305221557617,0.3292906582355499,193.9928741455078,7.109981536865234,-2.050112247467041,0.10884382575750351,1065.5633544921875,11.956624984741211,-10.810454368591309,0.14981432259082794,436.77734375,9.405233383178711,-4.3825154304504395,0.12231257557868958,345.8737487792969,8.726855278015137,-3.4782896041870117,0.1173098236322403
744962,221.4033,27.03472,436,2142,54208.0,140,0,30.0,0.029790738597512245,1.8471630028216168e-05,850.0,-3.0,15.935062408447266,0.0,0.32230526208877563,0.33404645323753357,1.2967716455459595,0.004942849278450012,1.106990098953247,0.005747349467128515,5143.48681640625,39.00476837158203,-60.88487243652344,0.4533524811267853,1094.96337890625,14.367813110351562,-14.24606704711914,0.1916121542453766,9958.162109375,69.55615234375,-135.92642211914062,0.9775939583778381,326.20953369140625,9.26405143737793,-4.409796237945557,0.14353683590888977,2400.99755859375,20.200529098510742,-27.437402725219727,0.26363590359687805,636.4978637695312,12.247979164123535,-8.947436332702637,0.17395302653312683,616.501220703125,11.905117988586426,-8.560956954956055,0.17127791047096252
576550,247.6705,30.48878,199,1685,53463.0,154,0,192.0,0.03675408661365509,7.81093694968149e-06,117.6288833618164,5.575767517089844,16.630165100097656,0.0,0.36601582169532776,0.5997519493103027,1.791961431503296,0.015838228166103363,1.5224210023880005,0.017747733741998672,729.6353149414062,9.817850112915039,-15.890485763549805,0.21469879150390625,148.3700408935547,5.5392303466796875,-3.305851697921753,0.17988665401935577,805.8047485351562,10.537079811096191,-19.4814395904541,0.2726486921310425,50.92844009399414,5.206830978393555,-1.093041181564331,0.15179915726184845,652.9683837890625,8.686164855957031,-14.222297668457031,0.21837887167930603,180.03305053710938,6.25439453125,-3.80971360206604,0.1627168506383896,150.10508728027344,6.153328895568848,-3.2154688835144043,0.16073179244995117
927508,260.7357,31.34197,567,2974,54592.0,163,0,0.0,0.015143364667892456,8.316971616295632e-06,97.03253173828125,3.1395702362060547,16.084239959716797,0.0,-0.40178996324539185,0.3492957055568695,0.0,0.0,1.629915475845337,0.009937186725437641,547.5711059570312,10.07344913482666,-6.718106269836426,0.13712190091609955,134.69940185546875,5.309571266174316,-1.6945149898529053,0.11743555217981339,503.1131896972656,8.78315258026123,-7.040325164794922,0.14858052134513855,37.917083740234375,6.038550853729248,-0.49432554841041565,0.11331558972597122,393.6806945800781,8.724248886108398,-4.780935764312744,0.1367061585187912,171.9934844970703,7.385634899139404,-2.0879065990448,0.12328170239925385,129.7985382080078,7.331249237060547,-1.5724031925201416,0.12098926305770874
726521,169.2505,32.597390000000004,105,2107,53786.0,93,0,550.0,0.03478182107210159,9.693182619230356e-06,203.94154357910156,4.632274627685547,15.737035751342773,0.0,-2.898591995239258,0.4188168942928314,2.00545334815979,0.011285639367997646,1.8623085021972656,0.013923470862209797,412.2070617675781,15.135608673095703,-4.067686557769775,0.12549178302288055,129.31285095214844,9.554744720458984,-1.368909478187561,0.11941446363925934,298.7370910644531,10.925538063049316,-3.3446168899536133,0.13137327134609222,156.90452575683594,11.863056182861328,-1.4237643480300903,0.11972730606794357,533.71728515625,14.68336009979248,-4.8162994384765625,0.13714897632598877,280.2429504394531,13.470316886901855,-2.628047227859497,0.12728258967399597,211.71151733398438,13.22127914428711,-2.119511604309082,0.12575845420360565
323769,177.4404,50.52694,336,968,52412.0,99,0,149.0,0.026441995054483414,8.076230187725741e-06,128.16294860839844,3.7559540271759033,16.11712646484375,0.0,0.1763935387134552,0.45287278294563293,1.8843146562576294,0.012514784932136536,1.6679716110229492,0.014871369116008282,480.8480224609375,7.701757431030273,-6.888191223144531,0.11101074516773224,99.53054809570312,5.5612473487854,-1.3535609245300293,0.12627822160720825,930.4661865234375,10.037942886352539,-14.524587631225586,0.16557396948337555,59.246925354003906,5.702945232391357,-0.7146504521369934,0.09910525381565094,483.1611328125,7.3606276512146,-6.3021769523620605,0.1153658851981163,131.8508758544922,6.330997943878174,-1.7250012159347534,0.10427887737751007,136.20762634277344,6.408369064331055,-1.8334016799926758,0.10445977002382278
715998,132.3087,23.38028,237,2085,53379.0,63,0,154.0,0.02563522569835186,8.648543371236883e-06,111.05242919921875,4.197162628173828,15.949544906616211,0.0,2.76845383644104,0.33830657601356506,1.6114051342010498,0.00757555803284049,1.4119758605957031,0.008962031453847885,1647.0853271484375,15.60283088684082,-19.96817398071289,0.1931685507297516,315.0819396972656,6.903800964355469,-3.7721633911132812,0.12586171925067902,344.6832580566406,8.084787368774414,-5.141557693481445,0.13555575907230377,110.06712341308594,6.902380466461182,-1.4768379926681519,0.11228106915950775,1124.8790283203125,12.075483322143555,-13.298253059387207,0.16639815270900726,405.0299377441406,9.26237678527832,-5.093977451324463,0.13034121692180634,343.43609619140625,8.916741371154785,-4.0231170654296875,0.12553687393665314
750747,228.6658,26.594170000000002,36,2154,54539.0,146,0,0.0,0.03217502310872078,1.499407062510727e-05,139.43563842773438,4.932390213012695,16.502853393554688,0.0,-0.7694402933120728,0.6570879220962524,1.9895440340042114,0.020288540050387383,1.754352331161499,0.023727308958768845,559.18115234375,11.720633506774902,-10.966971397399902,0.17451895773410797,137.20248413085938,6.851372241973877,-2.8799901008605957,0.1707509160041809,560.7019653320312,9.425654411315918,-12.559306144714355,0.21811436116695404,92.14069366455078,6.939687728881836,-1.7177796363830566,0.14081314206123352,813.0482177734375,11.566855430603027,-14.859478950500488,0.20435284078121185,292.9078369140625,8.63627815246582,-5.407843589782715,0.15948747098445892,190.40301513671875,8.269033432006836,-3.8561291694641113,0.15284837782382965
